date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:40	79865/79865	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index3.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index3.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:40	73623/73623	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index4.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index4.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:41	78588/78588	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index5.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index5.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:41	80756/80756	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index6.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index6.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:41	75203/75203	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index7.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index7.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:42	74880/74880	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index8.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index8.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:42	80033/80033	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index9.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index9.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:42	74683/74683	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index10.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index10.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:43	82322/82322	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index11.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index11.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:43	113927/113927	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index12.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index12.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:43	92021/92021	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index13.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index13.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:44	87800/87800	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index14.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index14.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:44	73012/73012	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index15.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index15.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
